qber,p_depol,log_neg_bits,bb84_SP_bits,sixstate_SP_bits,gap_bb84,gap_sixstate
0.11650,0.15533,0.8213020399,0.0000000000,0.2961360376,0.8213020399,0.5251660023
0.11700,0.15600,0.8204853430,0.0000000000,0.2938838562,0.8204853430,0.5266014868
0.11750,0.15667,0.8196681835,0.0000000000,0.2916351659,0.8196681835,0.5280330176
0.11800,0.15733,0.8188505609,0.0000000000,0.2893899539,0.8188505609,0.5294606070
0.11850,0.15800,0.8180324747,0.0000000000,0.2871482073,0.8180324747,0.5308842673
0.11900,0.15867,0.8172139243,0.0000000000,0.2849099136,0.8172139243,0.5323040106
0.11950,0.15933,0.8163949092,0.0000000000,0.2826750602,0.8163949092,0.5337198489
0.12000,0.16000,0.8155754289,0.0000000000,0.2804436346,0.8155754289,0.5351317942
0.12050,0.16067,0.8147554828,0.0000000000,0.2782156245,0.8147554828,0.5365398583
0.12100,0.16133,0.8139350705,0.0000000000,0.2759910176,0.8139350705,0.5379440528
0.12150,0.16200,0.8131141913,0.0000000000,0.2737698019,0.8131141913,0.5393443895
0.12200,0.16267,0.8122928449,0.0000000000,0.2715519652,0.8122928449,0.5407408797
0.12250,0.16333,0.8114710305,0.0000000000,0.2693374956,0.8114710305,0.5421335349
0.12300,0.16400,0.8106487478,0.0000000000,0.2671263814,0.8106487478,0.5435223664
0.12350,0.16467,0.8098259961,0.0000000000,0.2649186107,0.8098259961,0.5449073854
0.12400,0.16533,0.8090027749,0.0000000000,0.2627141719,0.8090027749,0.5462886030
0.12450,0.16600,0.8081790838,0.0000000000,0.2605130536,0.8081790838,0.5476660302
0.12500,0.16667,0.8073549221,0.0000000000,0.2583152442,0.8073549221,0.5490396778
0.12550,0.16733,0.8065302893,0.0000000000,0.2561207324,0.8065302893,0.5504095568
0.12600,0.16800,0.8057051848,0.0000000000,0.2539295070,0.8057051848,0.5517756779
0.12650,0.16867,0.8048796083,0.0000000000,0.2517415567,0.8048796083,0.5531380516
0.12700,0.16933,0.8040535590,0.0000000000,0.2495568705,0.8040535590,0.5544966885
0.12750,0.17000,0.8032270364,0.0000000000,0.2473754374,0.8032270364,0.5558515991
0.12800,0.17067,0.8024000401,0.0000000000,0.2451972465,0.8024000401,0.5572027937
0.12850,0.17133,0.8015725695,0.0000000000,0.2430222869,0.8015725695,0.5585502825
0.12900,0.17200,0.8007446239,0.0000000000,0.2408505481,0.8007446239,0.5598940759
0.12950,0.17267,0.7999162030,0.0000000000,0.2386820193,0.7999162030,0.5612341837
0.13000,0.17333,0.7990873061,0.0000000000,0.2365166899,0.7990873061,0.5625706162
0.13050,0.17400,0.7982579326,0.0000000000,0.2343545495,0.7982579326,0.5639033832
0.13100,0.17467,0.7974280822,0.0000000000,0.2321955877,0.7974280822,0.5652324944
0.13150,0.17533,0.7965977540,0.0000000000,0.2300397942,0.7965977540,0.5665579598
0.13200,0.17600,0.7957669478,0.0000000000,0.2278871588,0.7957669478,0.5678797890
0.13250,0.17667,0.7949356628,0.0000000000,0.2257376712,0.7949356628,0.5691979916
0.13300,0.17733,0.7941038986,0.0000000000,0.2235913215,0.7941038986,0.5705125770
0.13350,0.17800,0.7932716545,0.0000000000,0.2214480997,0.7932716545,0.5718235548
0.13400,0.17867,0.7924389301,0.0000000000,0.2193079957,0.7924389301,0.5731309343
0.13450,0.17933,0.7916057247,0.0000000000,0.2171709999,0.7916057247,0.5744347248
0.13500,0.18000,0.7907720379,0.0000000000,0.2150371023,0.7907720379,0.5757349355
0.13550,0.18067,0.7899378690,0.0000000000,0.2129062934,0.7899378690,0.5770315756
0.13600,0.18133,0.7891032175,0.0000000000,0.2107785635,0.7891032175,0.5783246540
0.13650,0.18200,0.7882680829,0.0000000000,0.2086539031,0.7882680829,0.5796141798
0.13700,0.18267,0.7874324645,0.0000000000,0.2065323026,0.7874324645,0.5809001619
0.13750,0.18333,0.7865963619,0.0000000000,0.2044137528,0.7865963619,0.5821826091
0.13800,0.18400,0.7857597744,0.0000000000,0.2022982442,0.7857597744,0.5834615302
0.13850,0.18467,0.7849227016,0.0000000000,0.2001857676,0.7849227016,0.5847369339
0.13900,0.18533,0.7840851427,0.0000000000,0.1980763138,0.7840851427,0.5860088289
0.13950,0.18600,0.7832470974,0.0000000000,0.1959698737,0.7832470974,0.5872772236
0.14000,0.18667,0.7824085649,0.0000000000,0.1938664383,0.7824085649,0.5885421267
0.14050,0.18733,0.7815695448,0.0000000000,0.1917659984,0.7815695448,0.5898035464
0.14100,0.18800,0.7807300365,0.0000000000,0.1896685453,0.7807300365,0.5910614912
0.14150,0.18867,0.7798900393,0.0000000000,0.1875740700,0.7798900393,0.5923159693
0.14200,0.18933,0.7790495528,0.0000000000,0.1854825638,0.7790495528,0.5935669891
0.14250,0.19000,0.7782085764,0.0000000000,0.1833940179,0.7782085764,0.5948145585
0.14300,0.19067,0.7773671095,0.0000000000,0.1813084236,0.7773671095,0.5960586858
0.14350,0.19133,0.7765251514,0.0000000000,0.1792257725,0.7765251514,0.5972993790
0.14400,0.19200,0.7756827017,0.0000000000,0.1771460558,0.7756827017,0.5985366459
0.14450,0.19267,0.7748397598,0.0000000000,0.1750692652,0.7748397598,0.5997704947
0.14500,0.19333,0.7739963251,0.0000000000,0.1729953921,0.7739963251,0.6010009330
0.14550,0.19400,0.7731523970,0.0000000000,0.1709244284,0.7731523970,0.6022279686
0.14600,0.19467,0.7723079750,0.0000000000,0.1688563655,0.7723079750,0.6034516094
0.14650,0.19533,0.7714630584,0.0000000000,0.1667911954,0.7714630584,0.6046718629
0.14700,0.19600,0.7706176467,0.0000000000,0.1647289098,0.7706176467,0.6058887368
0.14750,0.19667,0.7697717392,0.0000000000,0.1626695006,0.7697717392,0.6071022386
0.14800,0.19733,0.7689253356,0.0000000000,0.1606129598,0.7689253356,0.6083123758
0.14850,0.19800,0.7680784350,0.0000000000,0.1585592792,0.7680784350,0.6095191558
0.14900,0.19867,0.7672310370,0.0000000000,0.1565084510,0.7672310370,0.6107225860
0.14950,0.19933,0.7663831410,0.0000000000,0.1544604673,0.7663831410,0.6119226737
0.15000,0.20000,0.7655347464,0.0000000000,0.1524153202,0.7655347464,0.6131194262
0.15050,0.20067,0.7646858525,0.0000000000,0.1503730019,0.7646858525,0.6143128507
0.15100,0.20133,0.7638364589,0.0000000000,0.1483335046,0.7638364589,0.6155029542
0.15150,0.20200,0.7629865649,0.0000000000,0.1462968208,0.7629865649,0.6166897441
0.15200,0.20267,0.7621361699,0.0000000000,0.1442629427,0.7621361699,0.6178732272
