noise_param,AD_log_neg_bits,dephase_log_neg_bits,depol_log_neg_bits
0.2720,0.7891032175,0.5420103555,0.6708403359
0.2730,0.7882680829,0.5400272693,0.6694803719
0.2740,0.7874324645,0.5380414533,0.6681191247
0.2750,0.7865963619,0.5360529002,0.6667565919
0.2760,0.7857597744,0.5340616024,0.6653927710
0.2770,0.7849227016,0.5320675523,0.6640276597
0.2780,0.7840851427,0.5300707422,0.6626612555
0.2790,0.7832470974,0.5280711646,0.6612935559
0.2800,0.7824085649,0.5260688117,0.6599245584
0.2810,0.7815695448,0.5240636758,0.6585542607
0.2820,0.7807300365,0.5220557492,0.6571826601
0.2830,0.7798900393,0.5200450240,0.6558097544
0.2840,0.7790495528,0.5180314926,0.6544355408
0.2850,0.7782085764,0.5160151470,0.6530600171
0.2860,0.7773671095,0.5139959794,0.6516831806
0.2870,0.7765251514,0.5119739818,0.6503050289
0.2880,0.7756827017,0.5099491463,0.6489255595
0.2890,0.7748397598,0.5079214650,0.6475447697
0.2900,0.7739963251,0.5058909297,0.6461626572
0.2910,0.7731523970,0.5038575326,0.6447792193
0.2920,0.7723079750,0.5018212654,0.6433944535
0.2930,0.7714630584,0.4997821201,0.6420083573
0.2940,0.7706176467,0.4977400886,0.6406209280
0.2950,0.7697717392,0.4956951626,0.6392321632
0.2960,0.7689253356,0.4936473340,0.6378420603
0.2970,0.7680784350,0.4915965944,0.6364506167
0.2980,0.7672310370,0.4895429356,0.6350578297
0.2990,0.7663831410,0.4874863493,0.6336636969
0.3000,0.7655347464,0.4854268272,0.6322682155
0.3010,0.7646858525,0.4833643607,0.6308713830
0.3020,0.7638364589,0.4812989415,0.6294731968
0.3030,0.7629865649,0.4792305612,0.6280736542
0.3040,0.7621361699,0.4771592112,0.6266727526
0.3050,0.7612852734,0.4750848829,0.6252704894
0.3060,0.7604338747,0.4730075679,0.6238668619
0.3070,0.7595819732,0.4709272575,0.6224618674
0.3080,0.7587295685,0.4688439430,0.6210555033
0.3090,0.7578766597,0.4667576157,0.6196477669
0.3100,0.7570232465,0.4646682670,0.6182386556
0.3110,0.7561693281,0.4625758880,0.6168281666
0.3120,0.7553149040,0.4604804700,0.6154162973
0.3130,0.7544599736,0.4583820042,0.6140030449
0.3140,0.7536045363,0.4562804815,0.6125884067
0.3150,0.7527485914,0.4541758932,0.6111723800
0.3160,0.7518921384,0.4520682302,0.6097549622
0.3170,0.7510351767,0.4499574836,0.6083361503
0.3180,0.7501777056,0.4478436444,0.6069159418
0.3190,0.7493197246,0.4457267033,0.6054943339
0.3200,0.7484612330,0.4436066515,0.6040713237
0.3210,0.7476022303,0.4414834796,0.6026469085
0.3220,0.7467427158,0.4393571785,0.6012210856
0.3230,0.7458826889,0.4372277389,0.5997938521
0.3240,0.7450221490,0.4350951516,0.5983652053
0.3250,0.7441610956,0.4329594073,0.5969351424
0.3260,0.7432995279,0.4308204965,0.5955036605
0.3270,0.7424374454,0.4286784099,0.5940707569
0.3280,0.7415748474,0.4265331381,0.5926364286
0.3290,0.7407117334,0.4243846715,0.5912006729
0.3300,0.7398481027,0.4222330007,0.5897634870
0.3310,0.7389839547,0.4200781160,0.5883248679
0.3320,0.7381192888,0.4179200078,0.5868848129
0.3330,0.7372541043,0.4157586665,0.5854433189
0.3340,0.7363884007,0.4135940824,0.5840003833
0.3350,0.7355221773,0.4114262457,0.5825560030
0.3360,0.7346554335,0.4092551467,0.5811101752
0.3370,0.7337881686,0.4070807755,0.5796628970
0.3380,0.7329203821,0.4049031221,0.5782141655
0.3390,0.7320520733,0.4027221768,0.5767639777
0.3400,0.7311832416,0.4005379296,0.5753123307
0.3410,0.7303138863,0.3983503703,0.5738592216
0.3420,0.7294440068,0.3961594891,0.5724046474
0.3430,0.7285736026,0.3939652757,0.5709486052
0.3440,0.7277026728,0.3917677200,0.5694910920
0.3450,0.7268312170,0.3895668118,0.5680321048
0.3460,0.7259592345,0.3873625408,0.5665716406
0.3470,0.7250867246,0.3851548969,0.5651096965
0.3480,0.7242136868,0.3829438696,0.5636462695
0.3490,0.7233401203,0.3807294485,0.5621813565
0.3500,0.7224660245,0.3785116233,0.5607149545
0.3510,0.7215913988,0.3762903833,0.5592470605
0.3520,0.7207162425,0.3740657182,0.5577776714
0.3530,0.7198405551,0.3718376173,0.5563067842
0.3540,0.7189643358,0.3696060700,0.5548343959
0.3550,0.7180875840,0.3673710656,0.5533605033
0.3560,0.7172102990,0.3651325935,0.5518851035
0.3570,0.7163324803,0.3628906427,0.5504081932
0.3580,0.7154541271,0.3606452025,0.5489297695
0.3590,0.7145752389,0.3583962620,0.5474498291
0.3600,0.7136958148,0.3561438102,0.5459683691
0.3610,0.7128158544,0.3538878363,0.5444853862
0.3620,0.7119353570,0.3516283291,0.5430008774
0.3630,0.7110543218,0.3493652776,0.5415148395
0.3640,0.7101727483,0.3470986706,0.5400272693
0.3650,0.7092906357,0.3448284970,0.5385381636
0.3660,0.7084079835,0.3425547455,0.5370475194
0.3670,0.7075247909,0.3402774048,0.5355553334
0.3680,0.7066410573,0.3379964635,0.5340616024
0.3690,0.7057567820,0.3357119103,0.5325663233
0.3700,0.7048719645,0.3334237337,0.5310694927
0.3710,0.7039866039,0.3311319222,0.5295711076
0.3720,0.7031006996,0.3288364642,0.5280711646
0.3730,0.7022142510,0.3265373481,0.5265696605
0.3740,0.7013272574,0.3242345623,0.5250665921
0.3750,0.7004397181,0.3219280949,0.5235619561
0.3760,0.6995516325,0.3196179342,0.5220557492
0.3770,0.6986629999,0.3173040684,0.5205479681
0.3780,0.6977738196,0.3149864855,0.5190386096
0.3790,0.6968840909,0.3126651736,0.5175276703
0.3800,0.6959938131,0.3103401206,0.5160151470
0.3810,0.6951029856,0.3080113146,0.5145010363
0.3820,0.6942116078,0.3056787432,0.5129853348
0.3830,0.6933196788,0.3033423945,0.5114680393
0.3840,0.6924271981,0.3010022560,0.5099491463
0.3850,0.6915341649,0.2986583156,0.5084286525
0.3860,0.6906405786,0.2963105607,0.5069065546
0.3870,0.6897464385,0.2939589790,0.5053828491
0.3880,0.6888517439,0.2916035580,0.5038575326
0.3890,0.6879564940,0.2892442852,0.5023306017
0.3900,0.6870606883,0.2868811478,0.5008020531
0.3910,0.6861643261,0.2845141332,0.4992718832
0.3920,0.6852674065,0.2821432288,0.4977400886
0.3930,0.6843699290,0.2797684216,0.4962066659
0.3940,0.6834718929,0.2773896988,0.4946716116
0.3950,0.6825732973,0.2750070475,0.4931349223
0.3960,0.6816741418,0.2726204547,0.4915965944
0.3970,0.6807744255,0.2702299072,0.4900566245
0.3980,0.6798741477,0.2678353921,0.4885150090
0.3990,0.6789733079,0.2654368960,0.4869717444
0.4000,0.6780719051,0.2630344058,0.4854268272
0.4010,0.6771699388,0.2606279081,0.4838802538
0.4020,0.6762674083,0.2582173895,0.4823320207
0.4030,0.6753643127,0.2558028366,0.4807821244
0.4040,0.6744606516,0.2533842358,0.4792305612
0.4050,0.6735564240,0.2509615735,0.4776773276
0.4060,0.6726516293,0.2485348361,0.4761224199
0.4070,0.6717462669,0.2461040099,0.4745658345
0.4080,0.6708403359,0.2436690810,0.4730075679
0.4090,0.6699338357,0.2412300355,0.4714476164
0.4100,0.6690267655,0.2387868596,0.4698859763
0.4110,0.6681191247,0.2363395392,0.4683226439
0.4120,0.6672109125,0.2338880602,0.4667576157
0.4130,0.6663021282,0.2314324084,0.4651908879
0.4140,0.6653927710,0.2289725698,0.4636224569
0.4150,0.6644828404,0.2265085298,0.4620523188
0.4160,0.6635723354,0.2240402742,0.4604804700
0.4170,0.6626612555,0.2215677885,0.4589069069
0.4180,0.6617495998,0.2190910582,0.4573316255
0.4190,0.6608373677,0.2166100687,0.4557546222
0.4200,0.6599245584,0.2141248054,0.4541758932
0.4210,0.6590111712,0.2116352533,0.4525954347
0.4220,0.6580972054,0.2091413978,0.4510132429
0.4230,0.6571826601,0.2066432240,0.4494293141
0.4240,0.6562675348,0.2041407168,0.4478436444
0.4250,0.6553518286,0.2016338612,0.4462562299
0.4260,0.6544355408,0.1991226420,0.4446670668
0.4270,0.6535186708,0.1966070441,0.4430761514
0.4280,0.6526012176,0.1940870521,0.4414834796
0.4290,0.6516831806,0.1915626507,0.4398890476
0.4300,0.6507645591,0.1890338244,0.4382928516
0.4310,0.6498453523,0.1865005576,0.4366948876
0.4320,0.6489255595,0.1839628348,0.4350951516
0.4330,0.6480051798,0.1814206403,0.4334936398
0.4340,0.6470842126,0.1788739582,0.4318903483
0.4350,0.6461626572,0.1763227726,0.4302852730
0.4360,0.6452405126,0.1737670677,0.4286784099
0.4370,0.6443177783,0.1712068274,0.4270697552
