noise_param,AD_1arm,AD_composed,DP_1arm,DP_composed,DE_1arm,DE_composed,ER_1arm,ER_composed
0.0850,0.9373443922,0.8775283202,0.8718436485,0.7560839085,0.9049657187,0.8121593319,0.9373443922,0.8775283202
0.0860,0.9365908298,0.8760913686,0.8702660704,0.7532485249,0.9038095586,0.8099033547,0.9365908298,0.8760913686
0.0870,0.9358368737,0.8746545579,0.8686867653,0.7504144185,0.9026524712,0.8076463170,0.9358368737,0.8746545579
0.0880,0.9350825233,0.8732178900,0.8671057295,0.7475816079,0.9014944550,0.8053882193,0.9350825233,0.8732178900
0.0890,0.9343277783,0.8717813669,0.8655229591,0.7447501117,0.9003355086,0.8031290621,0.9343277783,0.8717813669
0.0900,0.9335726383,0.8703449903,0.8639384504,0.7419199485,0.8991756305,0.8008688461,0.9335726383,0.8703449903
0.0910,0.9328171027,0.8689087621,0.8623521995,0.7390911372,0.8980148191,0.7986075717,0.9328171027,0.8689087621
0.0920,0.9320611713,0.8674726842,0.8607642026,0.7362636966,0.8968530729,0.7963452396,0.9320611713,0.8674726842
0.0930,0.9313048437,0.8660367585,0.8591744559,0.7334376457,0.8956903905,0.7940818503,0.9313048437,0.8660367585
0.0940,0.9305481192,0.8646009868,0.8575829554,0.7306130036,0.8945267703,0.7918174045,0.9305481192,0.8646009868
0.0950,0.9297909977,0.8631653710,0.8559896973,0.7277897895,0.8933622108,0.7895519027,0.9297909977,0.8631653710
0.0960,0.9290334786,0.8617299130,0.8543946778,0.7249680225,0.8921967105,0.7872853456,0.9290334786,0.8617299130
0.0970,0.9282755616,0.8602946148,0.8527978928,0.7221477221,0.8910302678,0.7850177338,0.9282755616,0.8602946148
0.0980,0.9275172462,0.8588594781,0.8511993386,0.7193289076,0.8898628814,0.7827490679,0.9275172462,0.8588594781
0.0990,0.9267585320,0.8574245050,0.8495990112,0.7165115987,0.8886945495,0.7804793485,0.9267585320,0.8574245050
0.1000,0.9259994186,0.8559896973,0.8479969066,0.7136958148,0.8875252707,0.7782085764,0.9259994186,0.8559896973
0.1010,0.9252399055,0.8545550569,0.8463930209,0.7108815758,0.8863550435,0.7759367521,0.9252399055,0.8545550569
0.1020,0.9244799924,0.8531205859,0.8447873501,0.7080689015,0.8851838663,0.7736638764,0.9244799924,0.8531205859
0.1030,0.9237196787,0.8516862859,0.8431798903,0.7052578117,0.8840117376,0.7713899498,0.9237196787,0.8516862859
0.1040,0.9229589642,0.8502521591,0.8415706374,0.7024483264,0.8828386558,0.7691149732,0.9229589642,0.8502521591
0.1050,0.9221978484,0.8488182074,0.8399595875,0.6996404657,0.8816646193,0.7668389471,0.9221978484,0.8488182074
0.1060,0.9214363308,0.8473844327,0.8383467365,0.6968342498,0.8804896267,0.7645618722,0.9214363308,0.8473844327
0.1070,0.9206744110,0.8459508369,0.8367320805,0.6940296990,0.8793136763,0.7622837494,0.9206744110,0.8459508369
0.1080,0.9199120887,0.8445174220,0.8351156153,0.6912268337,0.8781367666,0.7600045792,0.9199120887,0.8445174220
0.1090,0.9191493633,0.8430841899,0.8334973369,0.6884256742,0.8769588961,0.7577243625,0.9191493633,0.8430841899
0.1100,0.9183862344,0.8416511427,0.8318772412,0.6856262413,0.8757800631,0.7554430999,0.9183862344,0.8416511427
0.1110,0.9176227017,0.8402182822,0.8302553242,0.6828285554,0.8746002660,0.7531607923,0.9176227017,0.8402182822
0.1120,0.9168587647,0.8387856105,0.8286315817,0.6800326374,0.8734195034,0.7508774402,0.9168587647,0.8387856105
0.1130,0.9160944229,0.8373531296,0.8270060096,0.6772385081,0.8722377736,0.7485930447,0.9160944229,0.8373531296
0.1140,0.9153296760,0.8359208413,0.8253786039,0.6744461884,0.8710550751,0.7463076063,0.9153296760,0.8359208413
