dA,dC,dE,td_full,td_traced,margin,contraction_holds
2,4,2,1.0866284375,0.2968139797,7.8981445775e-01,True
2,4,2,1.1721571157,0.2951673337,8.7698978196e-01,True
2,4,2,1.1302942422,0.2925828462,8.3771139597e-01,True
2,4,2,1.0765940200,0.3017587239,7.7483529616e-01,True
2,4,2,1.1125391065,0.2680539116,8.4448519482e-01,True
2,4,2,1.1013821293,0.1603415679,9.4104056141e-01,True
2,4,2,1.1336930787,0.3301353951,8.0355768362e-01,True
2,4,2,1.1560822324,0.3075821110,8.4850012139e-01,True
2,4,2,1.2010820061,0.2589512960,9.4213071008e-01,True
2,4,2,1.1396037637,0.3315180090,8.0808575466e-01,True
2,4,2,1.2137835011,0.3249415316,8.8884196954e-01,True
2,4,2,1.2721284711,0.3765800834,8.9554838768e-01,True
2,4,2,1.0812250890,0.3455381792,7.3568690990e-01,True
2,4,2,1.1575332010,0.2905464459,8.6698675508e-01,True
2,4,2,1.0910984345,0.2741700597,8.1692837487e-01,True
2,4,2,1.0743915637,0.2310673255,8.4332423819e-01,True
2,4,2,1.0580402650,0.3102089455,7.4783131948e-01,True
2,4,2,1.1187534822,0.3394406980,7.7931278429e-01,True
2,4,2,1.1995878339,0.2727866418,9.2680119215e-01,True
2,4,2,1.1245761298,0.2892476850,8.3532844479e-01,True
2,4,2,1.2397558300,0.2561816495,9.8357418048e-01,True
2,4,2,1.0605783517,0.3468357756,7.1374257613e-01,True
2,4,2,1.1152616717,0.2015097474,9.1375192428e-01,True
2,4,2,1.1851484336,0.2727834045,9.1236502909e-01,True
2,4,2,1.1499706541,0.2642262551,8.8574439899e-01,True
2,4,2,1.0693797167,0.2912664030,7.7811331371e-01,True
2,4,2,1.0797528989,0.3698864807,7.0986641821e-01,True
2,4,2,1.0509161946,0.2990627087,7.5185348595e-01,True
2,4,2,1.1718323662,0.2211900694,9.5064229673e-01,True
2,4,2,1.1259506918,0.3099700476,8.1598064418e-01,True
2,4,2,1.1084717638,0.2060394155,9.0243234832e-01,True
4,2,4,1.1480940502,0.6183821525,5.2971189770e-01,True
4,2,4,1.1511742814,0.6329213860,5.1825289541e-01,True
4,2,4,1.1259853387,0.5654708041,5.6051453464e-01,True
4,2,4,1.1198845660,0.5876644662,5.3222009980e-01,True
4,2,4,1.1273900731,0.6070846027,5.2030547038e-01,True
4,2,4,1.1542002729,0.5752524778,5.7894779507e-01,True
4,2,4,1.1581405985,0.6290845979,5.2905600060e-01,True
4,2,4,1.1174317455,0.6120740681,5.0535767747e-01,True
4,2,4,1.1588863189,0.6112346635,5.4765165545e-01,True
4,2,4,1.1515669120,0.6195379969,5.3202891514e-01,True
4,2,4,1.1151663153,0.5735031309,5.4166318439e-01,True
4,2,4,1.1309910147,0.6323926340,4.9859838068e-01,True
4,2,4,1.1032728219,0.5414491298,5.6182369204e-01,True
4,2,4,1.1269330900,0.5796214672,5.4731162273e-01,True
4,2,4,1.1013526819,0.5620611137,5.3929156816e-01,True
4,2,4,1.1313459880,0.6309292967,5.0041669134e-01,True
4,2,4,1.1509009740,0.6025861600,5.4831481408e-01,True
4,2,4,1.1579036146,0.6090654529,5.4883816170e-01,True
4,2,4,1.1372623357,0.5765359499,5.6072638573e-01,True
4,2,4,1.1653023386,0.6149628860,5.5033945256e-01,True
4,2,4,1.1342115587,0.6060918895,5.2811966917e-01,True
4,2,4,1.1431896008,0.5810434748,5.6214612594e-01,True
4,2,4,1.1338297491,0.5895299289,5.4429982022e-01,True
4,2,4,1.1360796743,0.6216361866,5.1444348770e-01,True
4,2,4,1.1273154167,0.5931554555,5.3415996114e-01,True
4,2,4,1.1536447693,0.6242350265,5.2940974285e-01,True
4,2,4,1.1741437898,0.6127210931,5.6142269677e-01,True
4,2,4,1.1018064518,0.5964430765,5.0536337528e-01,True
4,2,4,1.1266534101,0.5743987218,5.5225468826e-01,True
4,2,4,1.1547412639,0.6080082934,5.4673297056e-01,True
4,2,4,1.1970249595,0.6396716438,5.5735331567e-01,True
4,2,4,1.1462635735,0.5667134644,5.7955010905e-01,True
4,2,4,1.1198976400,0.6016057890,5.1829185095e-01,True
4,2,4,1.1566097936,0.6278918989,5.2871789472e-01,True
4,2,4,1.1421781183,0.6033716041,5.3880651416e-01,True
4,2,4,1.1203586715,0.6114334057,5.0892526581e-01,True
4,2,4,1.1809612832,0.6227888182,5.5817246497e-01,True
4,2,4,1.1258727290,0.5810357426,5.4483698637e-01,True
4,2,4,1.1307339643,0.6148534472,5.1588051711e-01,True
4,2,4,1.1486063304,0.5621383808,5.8646794959e-01,True
4,2,4,1.1651944648,0.5891892599,5.7600520489e-01,True
4,2,4,1.1573095843,0.6225526181,5.3475696624e-01,True
4,2,4,1.1320283961,0.5741681605,5.5786023555e-01,True
4,2,4,1.1833622413,0.6544783246,5.2888391663e-01,True
4,2,4,1.1123639690,0.5883531299,5.2401083917e-01,True
4,2,4,1.1084226657,0.5747220582,5.3370060754e-01,True
4,2,4,1.1233207843,0.6099583493,5.1336243497e-01,True
4,2,4,1.1722904536,0.6425685823,5.2972187126e-01,True
4,2,4,1.1178928823,0.6137853599,5.0410752248e-01,True
4,2,4,1.1561351872,0.6143036677,5.4183151952e-01,True
3,3,3,1.1260465301,0.4025750615,7.2347146863e-01,True
3,3,3,1.0840529084,0.3446668506,7.3938605786e-01,True
3,3,3,1.1436320310,0.3820589132,7.6157311782e-01,True
3,3,3,1.1777672612,0.3547865265,8.2298073465e-01,True
3,3,3,1.1234288546,0.3842689958,7.3915985885e-01,True
3,3,3,1.1322624429,0.3741246150,7.5813782788e-01,True
3,3,3,1.0931124082,0.3945679279,6.9854448033e-01,True
3,3,3,1.0827834119,0.3666684049,7.1611500703e-01,True
3,3,3,1.0911038350,0.3741835873,7.1692024769e-01,True
3,3,3,1.1150152406,0.3939723743,7.2104286632e-01,True
3,3,3,1.1048879704,0.4150417750,6.8984619544e-01,True
3,3,3,1.1558196101,0.4034686331,7.5235097702e-01,True
3,3,3,1.0607410680,0.3527514145,7.0798965345e-01,True
3,3,3,1.1482368750,0.4026918068,7.4554506829e-01,True
3,3,3,1.1146305037,0.3865534369,7.2807706679e-01,True
3,3,3,1.1363997590,0.3284194470,8.0798031202e-01,True
3,3,3,1.1174874557,0.4371147596,6.8037269609e-01,True
3,3,3,1.1174937673,0.4009048181,7.1658894925e-01,True
3,3,3,1.0927524346,0.3450354819,7.4771695275e-01,True
3,3,3,1.2029550369,0.4006581227,8.0229691421e-01,True
3,3,3,1.1460771572,0.4130246688,7.3305248842e-01,True
3,3,3,1.0953548968,0.3706815928,7.2467330400e-01,True
3,3,3,1.1223610261,0.4625904051,6.5977062101e-01,True
3,3,3,1.1025175782,0.3853055469,7.1721203126e-01,True
3,3,3,1.1348955582,0.4028793762,7.3201618209e-01,True
3,3,3,1.1699675868,0.3747784891,7.9518909772e-01,True
3,3,3,1.1087039780,0.3658391307,7.4286484736e-01,True
3,3,3,1.1075685768,0.4362367616,6.7133181513e-01,True
3,3,3,1.1401253238,0.4195783141,7.2054700976e-01,True
3,3,3,1.1627506577,0.3798454288,7.8290522892e-01,True
3,3,3,1.1763351648,0.3733543922,8.0298077259e-01,True
3,3,3,1.1267394539,0.3483784376,7.7836101632e-01,True
3,3,3,1.1592150861,0.3817334256,7.7748166044e-01,True
3,3,3,1.1252634281,0.3778135853,7.4744984278e-01,True
3,3,3,1.1112447423,0.3915163864,7.1972835587e-01,True
3,3,3,1.1391459056,0.4176571319,7.2148877373e-01,True
3,3,3,1.1550222059,0.3657376913,7.8928451463e-01,True
3,3,3,1.1172538155,0.3923677782,7.2488603729e-01,True
3,3,3,1.1299607994,0.3765205345,7.5344026496e-01,True
3,3,3,1.0802358001,0.3767313745,7.0350442558e-01,True
3,3,3,1.0879842840,0.4031325763,6.8485170765e-01,True
3,3,3,1.1018093609,0.4296010395,6.7220832141e-01,True
3,3,3,1.1371670043,0.3729396154,7.6422738890e-01,True
3,3,3,1.1271547524,0.3982723063,7.2888244608e-01,True
3,3,3,1.1743390617,0.4621566154,7.1218244625e-01,True
3,3,3,1.1401419432,0.4316134901,7.0852845302e-01,True
