eta_arm,log_neg_two_arm_bits,pirandola_bits,ratio
0.253620,0.65220092,0.42201837,1.54543254
0.254120,0.65334978,0.42298370,1.54462166
0.254619,0.65449819,0.42394968,1.54381103
0.255118,0.65564615,0.42491631,1.54300066
0.255617,0.65679364,0.42588359,1.54219056
0.256117,0.65794068,0.42685151,1.54138071
0.256616,0.65908727,0.42782008,1.54057112
0.257115,0.66023340,0.42878931,1.53976179
0.257614,0.66137907,0.42975919,1.53895272
0.258114,0.66252429,0.43072972,1.53814391
0.258613,0.66366906,0.43170090,1.53733535
0.259112,0.66481337,0.43267274,1.53652705
0.259611,0.66595722,0.43364523,1.53571901
0.260111,0.66710063,0.43461838,1.53491123
0.260610,0.66824358,0.43559218,1.53410370
0.261109,0.66938608,0.43656665,1.53329642
0.261608,0.67052812,0.43754177,1.53248941
0.262108,0.67166972,0.43851755,1.53168264
0.262607,0.67281086,0.43949399,1.53087614
0.263106,0.67395155,0.44047109,1.53006988
0.263605,0.67509179,0.44144886,1.52926388
0.264105,0.67623158,0.44242728,1.52845814
0.264604,0.67737092,0.44340638,1.52765264
0.265103,0.67850981,0.44438613,1.52684740
0.265602,0.67964826,0.44536656,1.52604242
0.266102,0.68078625,0.44634765,1.52523768
0.266601,0.68192379,0.44732940,1.52443320
0.267100,0.68306089,0.44831183,1.52362896
0.267599,0.68419754,0.44929492,1.52282498
0.268099,0.68533374,0.45027869,1.52202125
0.268598,0.68646949,0.45126313,1.52121777
0.269097,0.68760479,0.45224824,1.52041454
0.269596,0.68873965,0.45323402,1.51961156
0.270096,0.68987407,0.45422047,1.51880883
0.270595,0.69100803,0.45520760,1.51800635
0.271094,0.69214156,0.45619541,1.51720411
0.271593,0.69327463,0.45718390,1.51640213
0.272093,0.69440726,0.45817306,1.51560039
0.272592,0.69553945,0.45916290,1.51479890
0.273091,0.69667120,0.46015342,1.51399766
0.273590,0.69780250,0.46114462,1.51319666
0.274090,0.69893335,0.46213650,1.51239591
0.274589,0.70006376,0.46312906,1.51159541
0.275088,0.70119374,0.46412231,1.51079515
0.275587,0.70232326,0.46511624,1.50999513
0.276087,0.70345235,0.46611086,1.50919536
0.276586,0.70458099,0.46710616,1.50839584
0.277085,0.70570920,0.46810215,1.50759656
0.277584,0.70683696,0.46909883,1.50679753
0.278084,0.70796428,0.47009620,1.50599873
0.278583,0.70909116,0.47109426,1.50520018
0.279082,0.71021760,0.47209301,1.50440188
0.279581,0.71134361,0.47309245,1.50360381
0.280081,0.71246917,0.47409258,1.50280599
0.280580,0.71359429,0.47509341,1.50200841
0.281079,0.71471898,0.47609493,1.50121107
0.281578,0.71584323,0.47709715,1.50041398
0.282078,0.71696703,0.47810006,1.49961712
0.282577,0.71809041,0.47910367,1.49882050
0.283076,0.71921334,0.48010798,1.49802413
0.283575,0.72033584,0.48111299,1.49722799
0.284075,0.72145790,0.48211870,1.49643209
0.284574,0.72257952,0.48312512,1.49563643
0.285073,0.72370071,0.48413223,1.49484101
0.285572,0.72482147,0.48514005,1.49404583
0.286072,0.72594179,0.48614857,1.49325089
0.286571,0.72706167,0.48715780,1.49245618
0.287070,0.72818112,0.48816774,1.49166171
0.287569,0.72930013,0.48917838,1.49086748
0.288069,0.73041871,0.49018973,1.49007348
0.288568,0.73153686,0.49120179,1.48927972
0.289067,0.73265458,0.49221456,1.48848619
0.289566,0.73377186,0.49322804,1.48769290
0.290066,0.73488871,0.49424224,1.48689985
0.290565,0.73600512,0.49525714,1.48610703
0.291064,0.73712111,0.49627277,1.48531444
0.291563,0.73823666,0.49728911,1.48452209
0.292063,0.73935179,0.49830616,1.48372997
0.292562,0.74046648,0.49932393,1.48293809
0.293061,0.74158074,0.50034242,1.48214644
0.293560,0.74269457,0.50136163,1.48135502
0.294060,0.74380797,0.50238156,1.48056383
0.294559,0.74492094,0.50340222,1.47977287
0.295058,0.74603349,0.50442359,1.47898215
0.295557,0.74714560,0.50544569,1.47819166
0.296057,0.74825729,0.50646851,1.47740139
0.296556,0.74936854,0.50749206,1.47661136
0.297055,0.75047937,0.50851634,1.47582156
0.297554,0.75158978,0.50954134,1.47503199
0.298054,0.75269975,0.51056707,1.47424265
0.298553,0.75380930,0.51159353,1.47345353
0.299052,0.75491842,0.51262073,1.47266465
0.299551,0.75602712,0.51364865,1.47187599
0.300051,0.75713539,0.51467731,1.47108756
0.300550,0.75824323,0.51570670,1.47029936
