gamma,log_neg_analytic,Q_degradable_analytic_LB_on_K2way
0.4501,0.6321751354,0.0802835704
0.4511,0.6312458668,0.0786741458
0.4521,0.6303159992,0.0770649498
0.4531,0.6293855320,0.0754559774
0.4541,0.6284544642,0.0738472240
0.4551,0.6275227952,0.0722386847
0.4561,0.6265905241,0.0706303549
0.4571,0.6256576502,0.0690222298
0.4581,0.6247241727,0.0674143046
0.4591,0.6237900908,0.0658065747
0.4601,0.6228554038,0.0641990353
0.4611,0.6219201108,0.0625916817
0.4621,0.6209842110,0.0609845092
0.4631,0.6200477037,0.0593775131
0.4641,0.6191105881,0.0577706886
0.4651,0.6181728634,0.0561640311
0.4661,0.6172345288,0.0545575359
0.4671,0.6162955835,0.0529511983
0.4681,0.6153560268,0.0513450136
0.4691,0.6144158577,0.0497389771
0.4701,0.6134750755,0.0481330842
0.4711,0.6125336795,0.0465273302
0.4721,0.6115916688,0.0449217104
0.4731,0.6106490425,0.0433162201
0.4741,0.6097058000,0.0417108548
0.4750,0.6087619404,0.0401056097
0.4760,0.6078174629,0.0385004802
0.4770,0.6068723667,0.0368954617
0.4780,0.6059266509,0.0352905494
0.4790,0.6049803148,0.0336857388
0.4800,0.6040333575,0.0320810252
0.4810,0.6030857783,0.0304764040
0.4820,0.6021375762,0.0288718705
0.4830,0.6011887506,0.0272674201
0.4840,0.6002393005,0.0256630482
0.4850,0.5992892252,0.0240587502
0.4860,0.5983385238,0.0224545214
0.4870,0.5973871955,0.0208503572
0.4880,0.5964352395,0.0192462529
0.4890,0.5954826549,0.0176422040
0.4900,0.5945294409,0.0160382059
0.4910,0.5935755967,0.0144342539
0.4920,0.5926211214,0.0128303434
0.4930,0.5916660143,0.0112264698
0.4940,0.5907102744,0.0096226284
0.4950,0.5897539009,0.0080188148
0.4960,0.5887968931,0.0064150242
0.4970,0.5878392500,0.0048112520
0.4980,0.5868809708,0.0032074936
0.4990,0.5859220546,0.0016037445
0.5000,0.5849625007,0.0000000000
0.5010,0.5840023082,0.0000000000
0.5020,0.5830414761,0.0000000000
0.5030,0.5820800037,0.0000000000
0.5040,0.5811178902,0.0000000000
0.5050,0.5801551345,0.0000000000
0.5060,0.5791917360,0.0000000000
0.5070,0.5782276937,0.0000000000
0.5080,0.5772630068,0.0000000000
0.5090,0.5762976744,0.0000000000
0.5100,0.5753316956,0.0000000000
0.5110,0.5743650696,0.0000000000
0.5120,0.5733977955,0.0000000000
0.5130,0.5724298725,0.0000000000
0.5140,0.5714612996,0.0000000000
0.5150,0.5704920761,0.0000000000
0.5160,0.5695222010,0.0000000000
0.5170,0.5685516734,0.0000000000
0.5180,0.5675804924,0.0000000000
0.5190,0.5666086573,0.0000000000
0.5200,0.5656361671,0.0000000000
0.5210,0.5646630209,0.0000000000
0.5220,0.5636892178,0.0000000000
0.5230,0.5627147570,0.0000000000
0.5240,0.5617396375,0.0000000000
0.5250,0.5607638586,0.0000000000
0.5259,0.5597874192,0.0000000000
0.5269,0.5588103184,0.0000000000
0.5279,0.5578325555,0.0000000000
0.5289,0.5568541294,0.0000000000
0.5299,0.5558750394,0.0000000000
0.5309,0.5548952844,0.0000000000
0.5319,0.5539148636,0.0000000000
0.5329,0.5529337761,0.0000000000
0.5339,0.5519520209,0.0000000000
0.5349,0.5509695972,0.0000000000
0.5359,0.5499865041,0.0000000000
0.5369,0.5490027406,0.0000000000
0.5379,0.5480183058,0.0000000000
0.5389,0.5470331988,0.0000000000
0.5399,0.5460474187,0.0000000000
0.5409,0.5450609646,0.0000000000
0.5419,0.5440738355,0.0000000000
0.5429,0.5430860305,0.0000000000
0.5439,0.5420975488,0.0000000000
0.5449,0.5411083892,0.0000000000
0.5459,0.5401185511,0.0000000000
0.5469,0.5391280333,0.0000000000
0.5479,0.5381368350,0.0000000000
0.5489,0.5371449552,0.0000000000
0.5499,0.5361523930,0.0000000000
0.5509,0.5351591475,0.0000000000
0.5519,0.5341652177,0.0000000000
0.5529,0.5331706026,0.0000000000
