noise_param,dephase_log_neg,dephase_K_D_PLOB,dephase_gap_bits,depol_log_neg,depol_E_R,depol_gap_bits
0.1730,0.7259592345,0.3354782891,0.3904809454,0.7995018141,0.2375989553,0.5619028588
0.1740,0.7242136868,0.3332262080,0.3909874787,0.7982579326,0.2343545495,0.5639033832
0.1750,0.7224660245,0.3309841649,0.3914818595,0.7970129778,0.2311172956,0.5658956823
0.1760,0.7207162425,0.3287521146,0.3919641279,0.7957669478,0.2278871588,0.5678797890
0.1770,0.7189643358,0.3265300123,0.3924343234,0.7945198406,0.2246641048,0.5698557359
0.1780,0.7172102990,0.3243178138,0.3928924852,0.7932716545,0.2214480997,0.5718235548
0.1790,0.7154541271,0.3221154755,0.3933386516,0.7920223875,0.2182391099,0.5737832776
0.1800,0.7136958148,0.3199229543,0.3937728606,0.7907720379,0.2150371023,0.5757349355
0.1810,0.7119353570,0.3177402074,0.3941951496,0.7895206036,0.2118420442,0.5776785594
0.1820,0.7101727483,0.3155671928,0.3946055555,0.7882680829,0.2086539031,0.5796141798
0.1830,0.7084079835,0.3134038688,0.3950041147,0.7870144738,0.2054726470,0.5815418268
0.1840,0.7066410573,0.3112501943,0.3953908630,0.7857597744,0.2022982442,0.5834615302
0.1850,0.7048719645,0.3091061286,0.3957658359,0.7845039829,0.1991306634,0.5853733195
0.1860,0.7031006996,0.3069716314,0.3961290682,0.7832470974,0.1959698737,0.5872772236
0.1870,0.7013272574,0.3048466630,0.3964805944,0.7819891159,0.1928158444,0.5891732714
0.1880,0.6995516325,0.3027311842,0.3968204483,0.7807300365,0.1896685453,0.5910614912
0.1890,0.6977738196,0.3006251560,0.3971486635,0.7794698573,0.1865279463,0.5929419110
0.1900,0.6959938131,0.2985285401,0.3974652730,0.7782085764,0.1833940179,0.5948145585
0.1910,0.6942116078,0.2964412985,0.3977703093,0.7769461919,0.1802667307,0.5966794611
0.1920,0.6924271981,0.2943633935,0.3980638045,0.7756827017,0.1771460558,0.5985366459
0.1930,0.6906405786,0.2922947882,0.3983457904,0.7744181041,0.1740319645,0.6003861396
0.1940,0.6888517439,0.2902354457,0.3986162982,0.7731523970,0.1709244284,0.6022279686
0.1950,0.6870606883,0.2881853298,0.3988753586,0.7718855785,0.1678234194,0.6040621591
0.1960,0.6852674065,0.2861444045,0.3991230020,0.7706176467,0.1647289098,0.6058887368
0.1970,0.6834718929,0.2841126343,0.3993592585,0.7693485995,0.1616408722,0.6077077273
0.1980,0.6816741418,0.2820899841,0.3995841577,0.7680784350,0.1585592792,0.6095191558
0.1990,0.6798741477,0.2800764192,0.3997977286,0.7668071513,0.1554841041,0.6113230472
0.2000,0.6780719051,0.2780719051,0.4000000000,0.7655347464,0.1524153202,0.6131194262
0.2010,0.6762674083,0.2760764079,0.4001910004,0.7642612182,0.1493529011,0.6149083171
0.2020,0.6744606516,0.2740898940,0.4003707576,0.7629865649,0.1462968208,0.6166897441
0.2030,0.6726516293,0.2721123300,0.4005392994,0.7617107844,0.1432470535,0.6184637309
0.2040,0.6708403359,0.2701436831,0.4006966528,0.7604338747,0.1402035736,0.6202303011
0.2050,0.6690267655,0.2681839206,0.4008428449,0.7591558338,0.1371663559,0.6219894779
0.2060,0.6672109125,0.2662330105,0.4009779020,0.7578766597,0.1341353753,0.6237412845
0.2070,0.6653927710,0.2642909207,0.4011018503,0.7565963505,0.1311106070,0.6254857435
0.2080,0.6635723354,0.2623576198,0.4012147156,0.7553149040,0.1280920266,0.6272228774
0.2090,0.6617495998,0.2604330766,0.4013165232,0.7540323184,0.1250796098,0.6289527086
0.2100,0.6599245584,0.2585172601,0.4014072983,0.7527485914,0.1220733325,0.6306752589
0.2110,0.6580972054,0.2566101398,0.4014870656,0.7514637212,0.1190731709,0.6323905503
0.2120,0.6562675348,0.2547116854,0.4015558494,0.7501777056,0.1160791014,0.6340986042
0.2130,0.6544355408,0.2528218671,0.4016136737,0.7488905426,0.1130911008,0.6357994418
0.2140,0.6526012176,0.2509406552,0.4016605624,0.7476022303,0.1101091459,0.6374930843
0.2150,0.6507645591,0.2490680204,0.4016965388,0.7463127664,0.1071332139,0.6391795525
0.2160,0.6489255595,0.2472039336,0.4017216259,0.7450221490,0.1041632821,0.6408588669
0.2170,0.6470842126,0.2453483662,0.4017358465,0.7437303760,0.1011993281,0.6425310479
0.2180,0.6452405126,0.2435012896,0.4017392230,0.7424374454,0.0982413296,0.6441961158
0.2190,0.6433944535,0.2416626759,0.4017317776,0.7411433550,0.0952892647,0.6458540903
